// INIZIALIZZAZIONE ALBERO
// **********************************************************************************************
//  I parametri d'inizializzazione di ogni nodo sono i seguenti:
//   idAppartenenza, idProprio, decisione, domanda, parteSoluzione, identificatoreSoluzione
// **********************************************************************************************
//  Identificatori soluzioni:
//      [A] Soggetto
//      [W] Caratteristica
//      [S] Stato
//      [D] Colori
//      [R] Stile
// **********************************************************************************************
//
50,101,N,preferisci l'acqua al fuoco ?,freddi,[D]
51,102,Y,ti piace lo stile di Monet ?,impressionista,[R]
51,103,N,preferisci l'acqua al fuoco ?,freddi,[D]
52,104,Y,ti piace lo stile di Monet ?,impressionista,[R]
52,105,N,preferisci l'acqua al fuoco ?,freddi,[D]
53,106,Y,preferisci l'estate all'inverno ?,caldi,[D]
53,107,N,preferisci l'estate all'inverno ?,caldi,[D]
54,108,Y,ti piace lo stile di Monet ?,impressionista,[R]
54,109,N,preferisci l'acqua al fuoco ?,freddi,[D]
55,110,Y,preferisci l'estate all'inverno ?,caldi,[D]
55,111,N,preferisci l'estate all'inverno ?,caldi,[D]
56,113,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
57,114,Y,ti piace lo stile di Monet ?,impressionista,[R]
57,115,N,ti piace lo stile di Monet ?,impressionista,[R]
58,116,Y,ti piace lo stile di Monet ?,impressionista,[R]
58,117,N,preferisci l'acqua al fuoco ?,freddi,[D]
59,118,Y,ti piace lo stile di Monet ?,impressionista,[R]
59,119,N,preferisci l'acqua al fuoco ?,freddi,[D]
60,120,Y,ti piace lo stile di Monet ?,impressionista,[R]
60,121,N,preferisci l'acqua al fuoco ?,freddi,[D]
61,122,Y,ti piace lo stile di Monet ?,impressionista,[R]
61,123,N,preferisci l'acqua al fuoco ?,freddi,[D]
62,124,Y,ti piace lo stile di Monet ?,impressionista,[R]
62,125,N,preferisci l'acqua al fuoco ?,freddi,[D]
63,126,Y,ti piace lo stile di Monet ?,impressionista,[R]
63,127,N,preferisci l'acqua al fuoco ?,freddi,[D]
69,131,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
71,133,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
73,135,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
74,137,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
75,139,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
77,141,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
78,143,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
79,145,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
81,147,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
82,149,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
83,151,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
84,153,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
85,154,Y,ti piace lo stile di Monet ?,impressionista,[R]
85,155,N,ti piace lo stile di Monet ?,impressionista,[R]
86,157,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
87,158,Y,ti piace lo stile di Monet ?,impressionista,[R]
87,159,N,ti piace lo stile di Monet ?,impressionista,[R]
88,161,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
89,162,Y,ti piace lo stile di Monet ?,impressionista,[R]
89,163,N,ti piace lo stile di Monet ?,impressionista,[R]
90,164,Y,ti piace lo stile di Monet ?,impressionista,[R]
90,165,N,preferisci l'acqua al fuoco ?,freddi,[D]
91,166,Y,ti piace lo stile di Monet ?,impressionista,[R]
91,167,N,preferisci l'acqua al fuoco ?,freddi,[D]
92,169,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
93,170,Y,ti piace lo stile di Monet ?,impressionista,[R]
93,171,N,ti piace lo stile di Monet ?,impressionista,[R]
94,172,Y,ti piace lo stile di Monet ?,impressionista,[R]
94,173,N,preferisci l'acqua al fuoco ?,freddi,[D]
95,174,Y,ti piace lo stile di Monet ?,impressionista,[R]
95,175,N,preferisci l'acqua al fuoco ?,freddi,[D]
97,177,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
98,179,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
99,181,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
100,183,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
101,184,Y,ti piace lo stile di Monet ?,impressionista,[R]
101,185,N,ti piace lo stile di Monet ?,impressionista,[R]
102,187,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
103,188,Y,ti piace lo stile di Monet ?,impressionista,[R]
103,189,N,ti piace lo stile di Monet ?,impressionista,[R]
104,191,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
105,192,Y,ti piace lo stile di Monet ?,impressionista,[R]
105,193,N,ti piace lo stile di Monet ?,impressionista,[R]
106,194,Y,ti piace lo stile di Monet ?,impressionista,[R]
106,195,N,preferisci l'acqua al fuoco ?,freddi,[D]
107,196,Y,ti piace lo stile di Monet ?,impressionista,[R]
107,197,N,preferisci l'acqua al fuoco ?,freddi,[D]
108,199,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
109,200,Y,ti piace lo stile di Monet ?,impressionista,[R]
109,201,N,ti piace lo stile di Monet ?,impressionista,[R]
110,202,Y,ti piace lo stile di Monet ?,impressionista,[R]
110,203,N,preferisci l'acqua al fuoco ?,freddi,[D]
111,204,Y,ti piace lo stile di Monet ?,impressionista,[R]
111,205,N,preferisci l'acqua al fuoco ?,freddi,[D]
113,207,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
114,209,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
115,211,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
116,213,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
117,214,Y,ti piace lo stile di Monet ?,impressionista,[R]
117,215,N,ti piace lo stile di Monet ?,impressionista,[R]
118,217,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
119,218,Y,ti piace lo stile di Monet ?,impressionista,[R]
119,219,N,ti piace lo stile di Monet ?,impressionista,[R]
120,221,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
121,222,Y,ti piace lo stile di Monet ?,impressionista,[R]
121,223,N,ti piace lo stile di Monet ?,impressionista,[R]
122,225,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
123,226,Y,ti piace lo stile di Monet ?,impressionista,[R]
123,227,N,ti piace lo stile di Monet ?,impressionista,[R]
124,229,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
125,230,Y,ti piace lo stile di Monet ?,impressionista,[R]
125,231,N,ti piace lo stile di Monet ?,impressionista,[R]
126,233,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
127,234,Y,ti piace lo stile di Monet ?,impressionista,[R]
127,235,N,ti piace lo stile di Monet ?,impressionista,[R]
137,245,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
139,247,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
143,251,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
145,253,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
149,257,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
151,259,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
153,261,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
154,263,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
155,265,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
157,267,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
158,269,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
159,271,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
161,273,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
162,275,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
163,277,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
164,279,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
165,280,Y,ti piace lo stile di Monet ?,impressionista,[R]
165,281,N,ti piace lo stile di Monet ?,impressionista,[R]
166,283,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
167,284,Y,ti piace lo stile di Monet ?,impressionista,[R]
167,285,N,ti piace lo stile di Monet ?,impressionista,[R]
169,287,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
170,289,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
171,291,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
172,293,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
